NodeName,Score
CCS,1297
RGS14,2209.4
SHROOM3,1252
RUNX2,1438.571429
HNRNPU,976.4285714
RTCB,2550.5
RAB38,688
PRDX2,1195.666667
PDE4A,708.4
TIMP2,120
CPSF1,998.3888889
HNRNPA3,321.2
APLP1,1525.875
PAICS,2568
HDAC8,1317
HOXC11,378
FXYD7,331
TBC1D10A,1333.5
DHX9,1408.7
CTSE,1579.285714
SMOC1,1305.666667
HAS3,139.3333333
KLRG1,149
VPS4A,202.3333333
COPA,748.7333333
SLC26A2,2362.333333
TBC1D21,1670.666667
GRB2,1017.333333
TNC,621.1052632
SSTR5,803.5
UBE2I,1458.5
PITX1,91
ZC3H3,170.5
GCNT3,617
ANK3,754.7931034
DBI,5297
GOLPH3L,1423.75
STIM1,1696.8
ARHGAP11A,942.5
CHN1,1868
SEC14L3,2591
PIN4,163
NCAM2,1104.375
GUCA2B,323.5
TCP11,1626.333333
AP3S1,420
RNF126,1720
LINGO2,683.8
POLG2,2035
KRT40,1949.666667
PBX2,104.75
CHEK2,1215.888889
ACAA1,3435
CACNB3,166.5
RANGRF,2407.5
HYKK,2472.5
GPR141,125.4
CNFN,3435
NTF4,164.5
TAF7L,2509.8
PLTP,1086
NCF1,124
PSMA6,474.25
PLVAP,1080.428571
WDR77,2477.5
B3GNT7,1086
MROH9,959.1428571
DOLPP1,521.6666667
ARHGEF9,1643.375
LHX6,169.5
SLC7A9,1677
CA12,1682.333333
ACER3,1790
TXNDC11,484.6666667
C1QA,572.5
ATP1A4,986.8947368
DNASE2,494.6666667
SLC10A1,149.6
CXCL16,37
RECQL5,1031.555556
ITIH2,2736.666667
SH2D1B,3435
NDST1,1657.714286
MAGEE2,1587.4
PSMD2,2150.5
GPR180,587
ABCB1,1236.916667
CNTLN,621
GMIP,3495.25
TBC1D1,2067.25
ADCY6,1193.333333
YES1,1441
GDF15,4759
ST3GAL1,564
ECHDC1,1751.857143
ASB2,1493
RAB9B,697.5555556
RAB10,3422.666667
RRP15,214
HDAC9,1296.571429
AIMP2,3302.5
HSD17B3,99
EMC7,364
CRYM,418.6
FUZ,1375.25
PCNP,1751.5
KDM6A,680.8888889
EIF2AK3,1575.333333
PTPRB,933.4166667
CDH20,885.2
EXOC1,1788.428571
ICA1L,869.8333333
PEX1,1106.888889
CD81,1720
RTN4R,2086.5
UTP18,2604.5
PCDHGA3,847.0909091
ME1,3435
UBE2Q1,1272.555556
NFKB2,1854.666667
ELMO1,1214.818182
ZNF451,1370.888889
CPEB1,1975.666667
NUF2,1189
FABP12,2183.333333
CBL,985.1666667
HSD17B7,1738
UBE2D1,2269.5
STX2,886.8333333
FAM83C,659.2
BBX,883.9
LIN28A,198.3333333
LYST,1138.652174
GSDMA,345.2
TRUB1,492.75
DIAPH2,895.5
UGT1A8,2550.25
GDNF,948
PNPT1,1400
CCL17,2813
TTC19,2705
PRKAG3,105.5
MUC5AC,522.25
CPNE6,1815
CACNG5,1077.666667
KCNQ1,676.5
SMPD3,1268
CEP192,851.8333333
MCTP1,688.8888889
EIF4G1,983.6666667
TXN2,1796.5
KRTAP20-1,873
HMGN4,127.5
VAMP2,1736
DYNC1LI2,1751.833333
KCNB1,1032
FKBPL,948
HERPUD1,2752.666667
BUB1,1379.6
RBM47,1129.285714
MYF6,1041
NAPA,1743
ASPA,1692
RAP2B,185.6666667
ATP6V1E1,595.6666667
REM2,2789.5
CTTNBP2,1107.45
RBP1,1285.4
KIF2A,1068.777778
G2E3,1471.166667
KRIT1,1028.6
GABRA4,1308.1
ZC3H18,879.3333333
KCTD18,3225
FILIP1,1853.7
ACHE,1588.2
TMX3,500.5
WWOX,527.3333333
MTSS1,1147.222222
SSH1,1711.666667
OLIG2,78
NUP43,1255
RPL28,938.75
SLC26A11,2076.5
ZNF589,603.5
SLC12A5,750.7857143
SBSPON,2415.5
PPP1CA,36
DYSF,892.9565217
NR1I2,92.5
JUP,293.5555556
XPOT,551.5833333
QRFP,1595
KLHL6,2109
UGT2B4,473.6666667
SOX15,267.5
PPP2CA,223
USP19,925.8571429
UMPS,1202.5
CLDN12,679.6
SIRT2,527.375
MPDZ,1454.583333
ARNTL,1440
MAT2B,1429.2
CD44,391.4
PGC,952
PABPC4,119.8
TAT,165.75
OR52E2,106
SLC6A16,990.1666667
SF3B1,732.65
FCRL2,1302
IVL,112
SCN9A,795.05
MAP1B,1275
STAT3,357.3333333
