protein_id,Gene,Gene_symbol
ENSP00000436318,9973,CCS
ENSP00000306361,-,-
ENSP00000326737,51330,TNFRSF12A
ENSP00000305675,8436,CAVIN2
ENSP00000386229,10636,RGS14
ENSP00000262644,54928,BPNT2
ENSP00000307889,6137,RPL13
ENSP00000296043,57619,SHROOM3
ENSP00000398597,118460,EXOSC6
ENSP00000360493,860,RUNX2
ENSP00000283179,3192,HNRNPU
ENSP00000294517,113451,AZIN2
ENSP00000216038,51493,RTCB
ENSP00000243662,23682,RAB38
ENSP00000301522,7001,PRDX2
ENSP00000370078,5141,PDE4A
ENSP00000262768,7077,TIMP2
ENSP00000484669,29894,CPSF1
ENSP00000376309,220988,HNRNPA3
ENSP00000423366,57482,CRACD
ENSP00000221891,333,APLP1
ENSP00000382595,10606,PAICS
ENSP00000362674,55869,HDAC8
ENSP00000446680,3227,HOXC11
ENSP00000270310,53822,FXYD7
ENSP00000384996,83874,TBC1D10A
ENSP00000356520,1660,DHX9
ENSP00000276925,1030,CDKN2B
ENSP00000391869,-,-
ENSP00000350911,1510,CTSE
ENSP00000398736,3491,CCN1
ENSP00000355110,64093,SMOC1
ENSP00000304440,3038,HAS3
ENSP00000349477,10219,KLRG1
ENSP00000254950,27183,VPS4A
ENSP00000357048,1314,COPA
ENSP00000286298,1836,SLC26A2
ENSP00000300504,161514,TBC1D21
ENSP00000376345,2885,GRB2
ENSP00000265131,3371,TNC
ENSP00000293897,6755,SSTR5
ENSP00000348056,7329,UBE2I
ENSP00000265340,5307,PITX1
ENSP00000262577,23144,ZC3H3
ENSP00000379377,9245,GCNT3
ENSP00000445077,255308,EIF2S3B
ENSP00000280772,288,ANK3
ENSP00000439012,1622,DBI
ENSP00000271732,55204,GOLPH3L
ENSP00000478059,6786,STIM1
ENSP00000355090,9824,ARHGAP11A
ENSP00000386741,1123,CHN1
ENSP00000215812,266629,SEC14L3
ENSP00000362773,5303,PIN4
ENSP00000383392,4685,NCAM2
ENSP00000361662,2981,GUCA2B
ENSP00000308708,6954,TCP11
ENSP00000325369,1176,AP3S1
ENSP00000292363,55658,RNF126
ENSP00000369328,158038,LINGO2
ENSP00000442563,11232,POLG2
ENSP00000366984,125115,KRT40
ENSP00000364190,5089,PBX2
ENSP00000372023,11200,CHEK2
ENSP00000333664,30,ACAA1
ENSP00000301050,784,CACNB3
ENSP00000226105,29098,RANGRF
ENSP00000455459,123688,HYKK
ENSP00000390410,353345,GPR141
ENSP00000222032,84518,CNFN
ENSP00000469455,4909,NTF4
ENSP00000361998,54457,TAF7L
ENSP00000417138,5360,PLTP
ENSP00000290765,653689,GSTT2B
ENSP00000289473,653361,NCF1
ENSP00000261479,5687,PSMA6
ENSP00000252590,83483,PLVAP
ENSP00000235090,79084,WDR77
ENSP00000287590,93010,B3GNT7
ENSP00000356733,80133,MROH9
ENSP00000361625,57171,DOLPP1
ENSP00000334872,4494,MT1F
ENSP00000253401,23229,ARHGEF9
ENSP00000377854,26468,LHX6
ENSP00000297591,25962,VIRMA
ENSP00000023064,11136,SLC7A9
ENSP00000178638,771,CA12
ENSP00000434480,55331,ACER3
ENSP00000283033,51061,TXNDC11
ENSP00000363773,712,C1QA
ENSP00000357060,480,ATP1A4
ENSP00000222219,1777,DNASE2
ENSP00000216540,6554,SLC10A1
ENSP00000293778,58191,CXCL16
ENSP00000317636,9400,RECQL5
ENSP00000294829,149647,GARIN4
ENSP00000351190,3698,ITIH2
ENSP00000356906,117157,SH2D1B
ENSP00000355206,4537,ND3
ENSP00000261797,3340,NDST1
ENSP00000367828,-,-
ENSP00000362457,139599,MAGEE2
ENSP00000310129,5708,PSMD2
ENSP00000366157,160897,GPR180
ENSP00000478255,5243,ABCB1
ENSP00000370021,54875,CNTLN
ENSP00000203556,51291,GMIP
ENSP00000261439,23216,TBC1D1
ENSP00000311405,112,ADCY6
ENSP00000462468,7525,YES1
ENSP00000252809,9518,GDF15
ENSP00000428540,6482,ST3GAL1
ENSP00000436585,55862,ECHDC1
ENSP00000451575,51676,ASB2
ENSP00000243298,51209,RAB9B
ENSP00000264710,10890,RAB10
ENSP00000355899,51018,RRP15
ENSP00000408617,9734,HDAC9
ENSP00000377486,9801,MRPL19
ENSP00000223029,7965,AIMP2
ENSP00000364412,3293,HSD17B3
ENSP00000256545,56851,EMC7
ENSP00000219599,1428,CRYM
ENSP00000313309,80199,FUZ
ENSP00000265260,57092,PCNP
ENSP00000367203,7403,KDM6A
ENSP00000307235,9451,EIF2AK3
ENSP00000334928,5787,PTPRB
ENSP00000262717,28316,CDH20
ENSP00000354554,4519,CYTB
ENSP00000370695,55763,EXOC1
ENSP00000478645,130026,ICA1L
ENSP00000248633,5189,PEX1
ENSP00000263645,975,CD81
ENSP00000043402,65078,RTN4R
ENSP00000378803,54852,PAQR5
ENSP00000225298,51096,UTP18
ENSP00000253812,56112,PCDHGA3
ENSP00000358719,4199,ME1
ENSP00000292211,55585,UBE2Q1
ENSP00000358983,4791,NFKB2
ENSP00000312185,9844,ELMO1
ENSP00000296946,6862,TBXT
ENSP00000358126,-,-
ENSP00000359740,26036,ZNF451
ENSP00000393241,6222,RPS18
ENSP00000477715,64506,CPEB1
ENSP00000271452,83540,NUF2
ENSP00000353650,646486,FABP12
ENSP00000264033,867,CBL
ENSP00000254521,51478,HSD17B7
ENSP00000363019,7321,UBE2D1
ENSP00000376178,2054,STX2
ENSP00000363529,128876,FAM83C
ENSP00000319974,56987,BBX
ENSP00000363314,79727,LIN28A
ENSP00000374443,1130,LYST
ENSP00000301659,284110,GSDMA
ENSP00000298746,142940,TRUB1
ENSP00000321348,1730,DIAPH2
ENSP00000362549,54576,UGT1A8
ENSP00000409007,2668,GDNF
ENSP00000400646,87178,PNPT1
ENSP00000219244,6361,CCL17
ENSP00000261647,54902,TTC19
ENSP00000397133,53632,PRKAG3
ENSP00000485659,4586,MUC5AC
ENSP00000440077,9362,CPNE6
ENSP00000436836,27091,CACNG5
ENSP00000155840,3784,KCNQ1
ENSP00000296684,4724,NDUFS4
ENSP00000219334,55512,SMPD3
ENSP00000427550,55125,CEP192
ENSP00000424126,79772,MCTP1
ENSP00000349336,642968,FAM163B
ENSP00000485364,401447,USP17L1
ENSP00000416255,1981,EIF4G1
ENSP00000216185,25828,TXN2
ENSP00000335503,337975,KRTAP20-1
ENSP00000366798,10473,HMGN4
ENSP00000314214,6844,VAMP2
ENSP00000258198,1783,DYNC1LI2
ENSP00000360806,3745,KCNB1
ENSP00000364298,63943,FKBPL
ENSP00000409555,9709,HERPUD1
ENSP00000366974,8366,H4C2
ENSP00000302530,699,BUB1
ENSP00000371212,54502,RBM47
ENSP00000228641,4618,MYF6
ENSP00000263354,8775,NAPA
ENSP00000423211,728393,USP17L27
ENSP00000263080,443,ASPA
ENSP00000319096,5912,RAP2B
ENSP00000253413,529,ATP6V1E1
ENSP00000267396,161253,REM2
ENSP00000160373,83992,CTTNBP2
ENSP00000232219,5947,RBP1
ENSP00000385000,3796,KIF2A
ENSP00000206595,55632,G2E3
ENSP00000378015,889,KRIT1
ENSP00000264318,2557,GABRA4
ENSP00000416951,124245,ZC3H18
ENSP00000355840,164127,CCDC185
ENSP00000352941,130535,KCTD18
ENSP00000322265,253639,ZNF620
ENSP00000237172,27145,FILIP1
ENSP00000421592,10189,ALYREF
ENSP00000303211,43,ACHE
ENSP00000299608,54495,TMX3
ENSP00000457230,51741,WWOX
ENSP00000334952,166647,ADGRA3
ENSP00000322804,9788,MTSS1
ENSP00000315713,54434,SSH1
ENSP00000331040,10215,OLIG2
ENSP00000342262,348995,NUP43
ENSP00000353794,283807,FBXL22
ENSP00000328484,8331,H2AC14
ENSP00000452909,6158,RPL28
ENSP00000355384,284129,SLC26A11
ENSP00000368876,165186,TOGARAM2
ENSP00000346729,51385,ZNF589
ENSP00000006275,79090,TRAPPC6A
ENSP00000387694,57468,SLC12A5
ENSP00000297354,157869,SBSPON
ENSP00000326031,5499,PPP1CA
ENSP00000386881,8291,DYSF
ENSP00000481258,102724862,TBC1D3I
ENSP00000418575,407738,TAFA1
ENSP00000336528,8856,NR1I2
ENSP00000377508,3728,JUP
ENSP00000401191,114049,BUD23
ENSP00000327821,11260,XPOT
ENSP00000485512,347148,QRFP
ENSP00000341342,89857,KLHL6
ENSP00000305221,7363,UGT2B4
ENSP00000355354,6665,SOX15
ENSP00000418447,5515,PPP2CA
ENSP00000354238,-,-
ENSP00000401197,10869,USP19
ENSP00000232607,7372,UMPS
ENSP00000287916,9069,CLDN12
ENSP00000249396,22933,SIRT2
ENSP00000439807,8777,MPDZ
ENSP00000304502,10736,SIX2
ENSP00000384517,406,ARNTL
ENSP00000338533,23548,TTC33
ENSP00000325425,27430,MAT2B
ENSP00000398632,960,CD44
ENSP00000362116,5225,PGC
ENSP00000361949,8761,PABPC4
ENSP00000348234,6898,TAT
ENSP00000322088,119678,OR52E2
